Prefix	FirstName	MiddleName	LastName	Suffix	Address	City	State	Zip+4	114 St/Dis	BioguideID	Party
The Honorable	Ralph	Lee	Abraham		417 Cannon House Office Building	Washington	DC	20515-1805	LA05	A000374	R
The Honorable	Alma	S.	Adams		222 Cannon House Office Building	Washington	DC	20515-3312	NC12	A000370	D
The Honorable	Robert	B.	Aderholt		235 Cannon House Office Building	Washington	DC	20515-0104	AL04	A000055	R
The Honorable	Pete		Aguilar		1223 Longworth House Office Building	Washington	DC	20515-0531	CA31	A000371	D
The Honorable	Rick	W.	Allen		513 Cannon House Office Building	Washington	DC	20515-1012	GA12	A000372	R
The Honorable	Justin		Amash		114 Cannon House Office Building	Washington	DC	20515-2203	MI03	A000367	R
The Honorable	Mark	E.	Amodei		332 Cannon House Office Building	Washington	DC	20515-2802	NV02	A000369	R
The Honorable	Brad		Ashford		107 Cannon House Office Building	Washington	DC	20515-2702	NE02	A000373	D
The Honorable	Brian		Babin		316 Cannon House Office Building	Washington	DC	20515-4336	TX36	B001291	R
The Honorable	Lou		Barletta		115 Cannon House Office Building	Washington	DC	20515-3811	PA11	B001269	R
The Honorable	Andy		Barr		1432 Longworth House Office Building	Washington	DC	20515-1706	KY06	B001282	R
The Honorable	Joe		Barton		2107 Rayburn House Office Building	Washington	DC	20515-4306	TX06	B000213	R
The Honorable	Karen		Bass		408 Cannon House Office Building	Washington	DC	20515-0537	CA37	B001270	D
The Honorable	Joyce		Beatty		133 Cannon House Office Building	Washington	DC	20515-3503	OH03	B001281	D
The Honorable	Xavier		Becerra		1226 Longworth House Office Building	Washington	DC	20515-0534	CA34	B000287	D
The Honorable	Dan		Benishek		514 Cannon House Office Building	Washington	DC	20515-2201	MI01	B001271	R
The Honorable	Ami		Bera		1535 Longworth House Office Building	Washington	DC	20515-0507	CA07	B001287	D
The Honorable	Donald	S.	Beyer	Jr.	431 Cannon House Office Building	Washington	DC	20515-4608	VA08	B001292	D
